Rating (Star),Review,URL
4,"Bu telefonu eşime aldım. Hepsiburada dan bugüne kadar en az 30 ürün almışımdır ve kurumsal anlamda mükemmel çalıştıklarını tekrar belirtmek istiyorum. Ben de Nokia N95 8 gb var ama bende internet kullanacağım zaman eşimin telefonunu kullanıyorum. İkimiz de gayet memnunuz. İ-phone la kıyaslayan arkadaşlar olmuş ama i-phone la kıyaslanması bana saçma geldi çünkü dokunmatik ekran dışında hiçbir benzerlikleri yok. Bütün dokunmatik ekranlı telefonları i-phone la kıyaslamaya kalkışırsak büyük bir hata yapmış oluruz çünkü ben ona sadece telefon diyorum, nokia-5800-xpressmusic ise multimedya telefonu. Kullanımı çok pratik. Kutu içeriği gayet yeterli. Kesinlikle tavsiye ediyorum.",https://www.hepsiburada.com/nokia-5800-xpressmusic-p-TELCEPNOK5800XM
4,Çok iyi bir telefon olmuş kendi alanında.Özellikle pil tüketimi gayet başarılı .Çok az bir kullanımda şuan 44 saattir bitmedi pil hatta daha 5-6 saat kullanım göstermekte.Temaları kurcalarken sadece bir kere dondu telefon.Onun dışında bir sorun  yaşamadım kullanalı hemen hemen 5 gün oldu daha .,https://www.hepsiburada.com/samsung-galaxy-s7-edge-samsung-turkiye-garantili-p-TELCEPSAMS7E32-GD
5,HIZLI VE SORUNSUZ GÖNDERİ İÇİN TEŞEKKÜRLER HEPSİ BURADA SÜPER BİR TELEFON,https://www.hepsiburada.com/huawei-p9-lite-2017-huawei-turkiye-garantili-p-HBV000004RJ5K
5,Herkese siddetle tavsiye ederim esim icin aldim basta tereddudlerim vardi fakat telefon bekledigimden de iyi bir telefon bu telefonun normal fiyat olarak hakki 3200 tl civari rahatlikla diye bilirim. Korkmadan alabilirsiniz satici gayet basarili cekinceniz olmasin saygilar,https://www.hepsiburada.com/samsung-galaxy-note-fan-edition-dual-sim-ithalatci-garantili-p-HBV000008S8AE
5,"Ürün teslimi,paketleme,ürün kalitesi her şey harika.Teşekkürler",https://www.hepsiburada.com/visco-power-visco-ped-visco-yatak-siltesi-full-ortopedik-visco-ped-80x160-cm-p-EAVPMPTVS-8016
5,öncelikle hepsiburadaya hızlı teslimatindan dolayi teşşekür ederim oyuna geldiğimizde ise grafik muhteşem olmuş,https://www.hepsiburada.com/gta-5-ps3-p-OYUNARL020618
5,Çok güzel bir ticaret yapıyorsunuz çok teşekkür ederim iyi çalışmalar dilerim ,https://www.hepsiburada.com/vestfrost-vwm-9122-9120-a-9-kg-1200-devir-camasir-makinesi-p-MTVESTVWM9122
3,ürünün şarzı çok uzun gidiyor.direk suya sokmadım ama ellerimi yıkarken falan da çıkarmadım.fonksiyonlarına göre iyi,https://www.hepsiburada.com/xiaomi-mi-band-2-akilli-bileklik-siyah-p-TELAKLMIBAND2
5,ürün çok güzel tavsiye ederim ses normal radyodan az gelebilir ama yinede güzel ayrıca dün sipariş ettim yarın geldi hızlı kargo ve güzel hizmet için teşşekürler hepsiburada,https://www.hepsiburada.com/case-4u-cyber-samsung-lg-iphone-bluetooth-aux-arac-kiti-an-6991-p-TELSARF856069914
5,ürün güzel teşekkür ediyorum. çok hızlı geldi,https://www.hepsiburada.com/sandisk-cruzer-fit-16gb-usb-bellek-sdcz33-016g-b35-p-BD101285
4,Fiyatına göre iye,https://www.hepsiburada.com/philips-azur-performer-gc3802-20-2400w-steamglide-tabanli-buharli-utu-p-EVPHIGC380220
4,"ben nu telefonu babalar günü için babama aldım ve sizin yorumlarınızı goz önune alarak tabi... ve gerçekyen memnun kaldık. sık ,kullanışlı ve müzik severlerede hitap eden bir telefon herkese tavsiye ederi...",https://www.hepsiburada.com/nokia-5800-xpressmusic-p-TELCEPNOK5800XM
4,kargo herşey güzel iyi ama 22 ayar 24 ayar deil bilginize,https://www.hepsiburada.com/nadir-gold-22-ayar-kulce-gram-altin-1-gr-yuvarlak-p-ALTNDR22KLC-1Y
5,kullanışlı,https://www.hepsiburada.com/bosch-x-line-seri-34-parca-delme-ve-vidalama-seti-p-HRBOSCH2607010608
5,gayet aydınlatıyor. Led enerji tasarrufu parlak. 2 tanesi en büyük odayı aydınlatır. İçiniz rahat olsun. 1 tanesi bile ideal olabilir. enerji tasarruflu (20w) twister (2 adet toplam 40 w) yerine bunun 1 adeti (10w) denk geldi.,https://www.hepsiburada.com/osakalight-10w-75watt-led-ampul-beyaz-isik-p-HRNSLED002
4,Her arabada olması gereken bir ürün hepsi buradaya teşekkür ederim. sipariş verdim bir gün sonra elime ulaştı hepsi burada.com a teşekkür ederim.,https://www.hepsiburada.com/stac-italy-patlak-lastigi-sisiren-ve-tamir-eden-sprey-091153-p-OTM091153
5,Dün sipariş verdim bugün elime ulaştı. Bu kadar hızlı olacağını hiç tahmin etmezdim. 5 dakikalık deneme fırsatım oldu ve çok hoşuma gitti. Yazılanların aksine hiç sesi yok garibimin hatta çalışmıyor mu yoksa diye üzüldüm. O derece sessiz. Ben oğlum için aldım banyo sonrası kullanacağız. Gayet başarılı bir ürün. ,https://www.hepsiburada.com/kumtel-lx-6331-2000-watt-fanli-isitici-p-EVKUMTELLX6331
5,telefon çok güzel gerçekten. çok fazla yorum yapmaya gerek yok. oldukça başarılı.,https://www.hepsiburada.com/xiaomi-mi-6-128-gb-ithalatci-garantili-p-HBV000006BU6Z
5,bence çok kullanışlı kapağı biraz ağır ama performans olarak güzel hızlı teslimat için hepsiburadaya teşekkürler,https://www.hepsiburada.com/schafer-diva-valente-2-li-duduklu-tencere-takimi-4lt-7lt-p-MTASLANDIVADUDUKLU
5,"Kesinlikle ÖNERİYORUM ! Tam bir fiyat performans ürünü.Biraz takıntılı olduğum için bu ürünü alana kadar Siemens,Lg,Elektrolux,Vestel,Hotpoint,Arçelik ve Samsung'un tek tek showroomlarını gezdim ya bu fiyatlarda olan ürünler çok daha kalitesizdi ya da bu kalitede olan ürünler çok daha pahalıydı aralarına 500-1000 TL arası farklar vardı. Kafamda ürünü oturttuktan sonra tabi ki Hepsiburada kalitesiyle 200 TL mağazasından daha uyguna aldım.Teşekkürler Hepsiburada.",https://www.hepsiburada.com/samsung-rl4323rbasp-tr-a-473-lt-nofrost-buzdolabi-p-MTSAMRL4323RBASP
5,ÜRÜNÜ 2005 COROLLA ARACIMA ALDIM ŞIK VE GÜZEL OLDU. ALMAK İSTEYENLERE ÖNERİRİM. DİKMESİ KOLAY ÇAPRAZ DİKEBİLİRSİNİZ DİKİŞ İÇİN ARAŞTIRI ÖĞRENİP DİKMENİZİ ÖNERİRİM,https://www.hepsiburada.com/modacar-vinil-deri-siyah-sarmali-direksiyon-kilifi-180004-p-OTM180004
5,2 ay önce aracıma aldım. burdan aldığımı arkadaşıma hediye ettim. kaliteli sağlam ve tuttuğunu bırakmıyor üzerindeki eşyanın kayması imkansız. 90 derecelik duvarda denemedim ama 70 derece yapışık halde teelfonumu gayet sağlam yapıştırabiliyorum. Teşekkürler HB,https://www.hepsiburada.com/magic-pad-yer-cekimine-hodri-meydan-115022-p-OTCTN115022
5,ÇOK GÜZEL BİR ÜRÜN TAVSİYE EDERİM HERKESE.,https://www.hepsiburada.com/tekno-tel-dm271-vakumlu-tuvalet-kagitligi-p-HRTKNDM271
4,"Hepsiburada güvencesine güvenerek aldığım İthalatçı garantili Samsung galaxy C7 gerçekten beni çok memnun etti. Son derece şık ve sağlam bir kasaya sahip ekran deseniz gorilla glass 4 ile korunuyor ve 2.5 D erkan olduğu için çok yakışıklı duruyo, 386 ppı acaba yeterli  olurmu diye düşünüyordum tereddütüm vardı benim gibi tereddüt eden arkadaşlar varsa hiç düşünmeden alsınlar ekran görüntü kalitesi çok güzel gayet yeterli, kamerasına diyecek söz yok, ek olarak çift sim ile kullanabilirsiniz ve radyosu var. İşlemcisi snapdragon 625 kesinlikle ısınma donma yapmıyor gayet akıcı bir işlemci 4 gb ram de telefonu gayet rahatlatmış kısacası aldım kullanıyorum çok memnunum alacak arkadaşlara tavsiye ederim fiyatı özelliklerine bakınca çok çok uygun fazla para vermeye gerek yok hepsiburada.com güvencesiyle alıp gönül rahatlığıyla kullanabilirsiniz.   Saygılar...",https://www.hepsiburada.com/samsung-galaxy-c7-ithalatci-garantili-p-HBV000000U6Q6
5,HIZLI KARGO  SAĞLAM MALZEME HER ARAÇTA MUTLAKA OLMASI GEREKEN BİR ÜRÜN FİYATINA GÖRE HAKKINI VERİYOR. DÜŞÜNENLER HİÇ BEKLEMESİNLER PİŞMAN OLUNMAYACAK BİR ÜRÜN...,https://www.hepsiburada.com/carspeed-4x4-jumbo-1004652-celik-hava-kompresoru-cantali-p-OTCTN1004652
2,beklediğim gibi değil fiyata göre kalitesi düşük arka yaslanmıyor sabit ayrıca vida yeri düzgün açılmadığı kendi imkanlarımla hallettim,https://www.hepsiburada.com/turksit-804-file-calisma-koltugu-krom-ayak-krem-p-OFISTUKSIT804-KR
5,Tek kelimeyle mükemmel. Ters dursa dahi telefonu düşürmüyor. Bir parça bifteklik et hissi veriyor dokununca. Tek kötü yanı yapıştığı yüzeyde geçici iz bırakıyor.,https://www.hepsiburada.com/magic-pad-yer-cekimine-hodri-meydan-115022-p-OTCTN115022
5,İyiydi memnun kaldım,https://www.hepsiburada.com/sandisk-cruzer-fit-16gb-usb-bellek-sdcz33-016g-b35-p-BD101285
4,Sorunsuz...,https://www.hepsiburada.com/afia-3-4-kg-dogal-himalaya-tuz-lambasi-p-HRAF00001
5,Ürünü alalı 3ay oldu çok da memnunum.2de su çok güzel ısınıyor 3e hiç gerek bile kalmıyor.Su akışı da çok iyi.Komşularım arada diğer marka şofbenlerden aniden soğuk su geldiğinden bahsediyorlar ancak ben o sorunla hiç karşılaşmadım.Kesinlikle tereddüt edilmeden alınabilecek bir marka.Teşekkürler Nilay Karagöz Muğla,https://www.hepsiburada.com/arzum-ar-010-termal-elektrikli-sofben-p-EVAR010
4,"Fiyat uygun,parlatması iyi tavsiye ederim",https://www.hepsiburada.com/space-simsiyah-lastik-parlatici-p-OTM090302
5,4 senedir sorunsuz kullanıyorum. 2 kere pilini değiştirttim sadece.,https://www.hepsiburada.com/casio-ef-336l-1a1vdf-erkek-kol-saati-p-SAEF-336L-1A1VDF
5,Güzel ürün,https://www.hepsiburada.com/next-minix-hd-black-2-plus-digital-hd-uydu-alicisi-p-EVNEXTMINIXBLACKP
2,"Bluetooth ile müzik kalitesi orta düzeyde ama malzeme kalitesi yerlerde, 1 yıldan fazla süredir kullanıyorum aletin sapları 5-6 kere kırıldı ve farklı yerlerden. Yapıştırıyorum başka bir yerden kırılıyor orayı yapıştırıyorum başka bir yerden kırılıyor. Artık elime almaya korkar oldum. Beklentimin çok altında kalan bir ürün oldu bu sebeple Samsung'u kınıyorum bu kadar kalitesiz bir ürün olur. Ben aldığıma pişmanım alacak olanlar ya pro modeline bakın yada başka bir ürüne bakın...",https://www.hepsiburada.com/samsung-level-u-bluetooth-kulaklik-altin-eo-bg920bfegww-p-TELBULSAMLEVELU-AL
3,"parasına göre iyi olduğunu düşünüyorum,içindeki 3 ufak gösterge aktif ama okunması güç ve fosforu biraz daha kaliteli olsa çok iyi olurdu.sonuç aldığıma pişman değilim",https://www.hepsiburada.com/casio-mtp-1374l-1avdf-erkek-kol-saati-p-SAMTP-1374L-1AVDF
5,ürünü beğendim soğuk hava geçmiyor ayrıca kapının hızlı çarpmasını engelliyor çoçuğu olanlar için çok iyi,https://www.hepsiburada.com/practika-kapi-alti-ruzgar-onleyici-yakit-tasarrufu-saglar-p-DKATYC14
4,"Hızlı şarj ediyor,ısınma sorunu yok.tavsiye ederim ",https://www.hepsiburada.com/xiaomi-10000-mah-tasinabilir-sarj-cihazi-p-TELSARJXIAOMI10000
5,çok kaliteli,https://www.hepsiburada.com/tefal-hard-titanium-ikili-tava-set-21-cm-28-cm-p-MT2100090477
5,hepsiburada dan eşim aldı kullanıyor çok harika bir ürün pahalı ürünlere hiç gerek yok ihtiyacı olan için bundan başka bir şey almayın derim,https://www.hepsiburada.com/arnica-hydra-plus-2400-watt-su-filtreli-elektrikli-supurge-turbo-firca-p-EVARNIPLUSTURBO
4,"Öncelikle Hepsiburada ya hızlı kargo için teşekkürler iki haftalık  kullanıcı  olarak mi 6 nin hızına diyecek yok telefon yağ gibi akıyor.Uretici firma hıza önem vereyim derken kamerayı orta halli düşünmüş iç ortamlarda çekimi çok kötü piksel piksel , ağır kamera çekimi berbat piksel piksel yine eğer bu telefonu hız için alıyorsanız kaçırmayın alın fakat kamera için alıyorsanız uzak durun sizi üzer.",https://www.hepsiburada.com/xiaomi-mi-6-64-gb-ithalatci-garantili-p-HBV0000063R9S
5,3 günde elime geçti cok sağlam rahat kısacası süper,https://www.hepsiburada.com/conteyner-930-kislik-su-gecirmez-termal-erkek-bot-p-HBV0000084GQB
5,Duracell kalitesi belli diyecek bir şey yok kargo bedava olması ayrıcalık bence tavsiye ederim. İytiyacı olanlar hiç düşünmeden alabilirler. Yalnız hepsi burada 20 kelime şartı kaldırırsa iyi olur.,https://www.hepsiburada.com/duracell-alkalin-aa-kalem-pil-9-3-12-li-paket-p-OFISDRCLL12AA
4,Ürünü sipariş ettikten 1 gün sonra elime ulaştı.Gerçekten çok harika bir ürün her ne kadar kordonunu ayarlamak başlangıçta biraz zamanımı alsada zamanla alışıyorsun. Tavsiye ederim.,https://www.hepsiburada.com/casio-ef-336l-1a1vdf-erkek-kol-saati-p-SAEF-336L-1A1VDF
4,"Uçan kaçan şeylere bi ton para vermeye gerek yok, zarif ve sağlam bu ürün. Tavsiye ederim. İçinde Tv vidası ve su terazisi de çıktı. Ne güzel, bunu düşünmeleri...",https://www.hepsiburada.com/plus-aparat-pa-2640-26-40-televizyon-sabit-aski-aparati-su-terazisi-hediyeli-curved-uyumlu-p-EVPLUSPA2640
5,Saati aldım.üç günde elime ulastı.çok beğendim ve Görenler de çok beğeniyor.aldığıma hiç pişman Değilim.iyi ki almışım..,https://www.hepsiburada.com/casio-mtp-1374sg-7avdf-erkek-kol-saati-p-SASCK0814247
5,"Telefon fiyat performans olarak tasiye edilebilecek bir cihaz. Aynı anda şirket J7 verdi, fiyat olarak aynı kategoride ama hafıza, hız, kamera gibi özellikleri fark atar. Parmak izi okuyucusu şaşırtacak derecede hızlı tanıyor. Alalı 1 ay oldu, böyle giderse kesinlikle tavsiye edeceğim telefondur. ",https://www.hepsiburada.com/xiaomi-mi-note-3-64-gb-ithalatci-garantili-p-HBV000008CL0R
3,Fiyatına göre beklentiye girilmezse idare eder. Rahat bir koltuk. diğer koltuklara göre tavsiye edilebilir bir ürün. hepsiburadaya teşekkürler,https://www.hepsiburada.com/turksit-804-file-calisma-koltugu-krom-ayak-krem-p-OFISTUKSIT804-KR
5,tam belirttikleri gibi kaliteli ve tam zamanında sevkiyat teşekkürler,https://www.hepsiburada.com/rulopak-t-cekmeli-paslanmaz-sivi-sabunluk-ve-sampuan-verici-p-HRRULOR3013
5,tertemiz yıkıyor hiç gidip tonla para vermeye gerek yok.,https://www.hepsiburada.com/arcelik-6233-a-3-programli-bulasik-makinesi-p-MTARC6233
5,ihtiyaçlarınızı fazlasıyla karşılayabileceğiniz bir cihaz gönül rahatlığı ile alın farkı görün.. güle güle kullanın..,https://www.hepsiburada.com/huawei-p9-lite-2017-huawei-turkiye-garantili-p-HBV000004RJ5K
5,ürün gerçekten iyi telefonu 4 defa şart ettim.,https://www.hepsiburada.com/samsung-11300-mah-tasinabilir-sarj-cihazi-beyaz-eb-pn915bwegww-p-TELSARJSAM11300BYZ
3,"2003 dizel Renault Clio aracimda kullanma talimatına uygun motora koydum ve 15 dk. rolantide calistirdim. ardından yola çıktım ve 15 km yol yaptım, bariz bir şekilde sesi daha tok çıkmaya başladı ve  azaldı. performans ve yakıt tüketimini de sonra goreceğiz.",https://www.hepsiburada.com/nnt-bor-power-nano-250-ml-motor-yag-katkisi-092090-p-OTM092090
4,İyi ürün ve alış-veriş için teşekkürler. 24w tasarruf ampülü yerine 10w led ampül hayli hayli iş görüyor. Aynı ışığı yayıyor ve göz yormuyor. Tavsiye edilir.,https://www.hepsiburada.com/osakalight-10w-75watt-led-ampul-beyaz-isik-p-HRNSLED002
5,"Gerek ürün kalitesi,gerekse ürün teslim süresinden son derece memmnun kalldım.Teşekkür ederim Hepsiburada.Bir sonraki diğer ihtiyaçlarımıda Hepsi buradadan temin etmeyi düşünüyorum.",https://www.hepsiburada.com/discover-car-gel-kavun-p-OTGLRDSR5097-K
4,BAYA Bİ İNCELEDİKTEN SONRA BU TELEFONDA KARAR KILDIM. KAMERASI HARİCİNDE DONANIMSAL OLARAK FİYATI EN UYGUN OLANLARDAN BİR TANESİ. KAMERADA O KADAR FENA SAYILMAZ ANI YAKALAMAK İÇİN GÜZEL KARELER ÇEKEBİLİYOR. OLUMSUZ YORUMLARA KAPILIP TEDİRGİN OLMAKTAN VAZGEÇİN İNDİRİMDEYKEN ALIN VE KENDİNİZ GÖRÜN DİYORUM. YILLARDIR ANTİ NOKİACIYDIM AMA SONUNDA NOKİA BANA BU TELİ ALDIRDI. BEĞENMEZSENİZDE SATABİLİRSİNİZ HERKES NOKİANIN 2.EL PİYASASINI BİLİR. İNDİRİMİ KAÇIRMAYIN TELEFON 4/4 LÜK.,https://www.hepsiburada.com/nokia-5800-xpressmusic-p-TELCEPNOK5800XM
3,gerçekten güzel bir urun uygun fiyat,https://www.hepsiburada.com/istiridye-inci-efsane-kolye-seti-tatli-su-p-TKIST40002T
1,"en başta resimdeki ürünle alakası yok, sihay daracık bir şey geldi ve  hiç bir şekilde göbeği içeri çekmiyor sıkıyor ama faydasız, almaya niyeti olanlar için yazmak istedim.....uzak durun bu üründen....yorumu yazarken aşağıda ki yorumları gördüm, almadan bakmış olsam almazdım....",https://www.hepsiburada.com/slim-lift-atlet-tipi-dikissiz-gobek-korsesi-erkek-korse-beyaz-p-GYABSLMLIFT-BYM
5,sporla ilgilenen biriyseniz süslü ve şık saatlerinizi bir kenara atmak zorunda kalacaksınız.,https://www.hepsiburada.com/xiaomi-mi-band-2-akilli-bileklik-siyah-p-TELAKLMIBAND2
4,Gayet fonksiyonlu ve şık.. ,https://www.hepsiburada.com/xiaomi-mi-band-2-akilli-bileklik-siyah-p-TELAKLMIBAND2
3,ben bu ürünü 1 yıdır kullanıyorum ürün iyi ancak burada başka yerden almayınderim cünkü fiyatı 2 katı ben buradan almadıgıma pişman oldu bunu görünce bence kacırmayın,https://www.hepsiburada.com/attlas-eco-v-4-8-sarjli-tornavida-23-parca-bits-uc-seti-p-HRATTLASATB48
3,İçinde gönderilen dolu renkli kartuş ile 45 Adet tam renkli etiket şeklinde sayfa bastık. Normali bu mudur bilmiyorum. Siyah kartuş ise yerinde duruyor neredeyse.,https://www.hepsiburada.com/hp-704-deskjet-2060-uc-renkli-kartus-cn693ae-cn693a-p-BS00918
5,Tavsiye ederim,https://www.hepsiburada.com/carspeed-4x4-jumbo-1004652-celik-hava-kompresoru-cantali-p-OTCTN1004652
5,hem ayakkabi hem yaninda verilen eldivenler gayet guzel.dusunenlere tavsiye ederim.,https://www.hepsiburada.com/conteyner-930-kislik-su-gecirmez-termal-erkek-bot-p-HBV0000084GQB
4,Uzun süredir nokia telefon kullanmıyordum. 2 ay oldu aldım çok memnunum. Diğer markaların dokunmatik ekranlarına göre hızlı ve donma olmuyor.,https://www.hepsiburada.com/nokia-5800-xpressmusic-p-TELCEPNOK5800XM
4,Ürünün kalitesini fiyatıyla kıyaslayınca alıcısı için gerçekten karlı bir durum çıkıyor ortaya.Kullanımı rahat ve pratik cihaz kısa sürede suyu sıcak hale getiriyor gerisi ise basit keyifli bir duş.Bu ürünü almakla iyi ve karlı bir iş yaptım.Günümüz koşullarını göz önüne aldığımızda elektrik kullanımının gaz kullanımına göre daha avantajlı olması bu ürünün önemli bir getirisi.Kısacası bu ürünü rahatlıkla herkese tavsiye edebilirim şimdiden herkese keyifli duşlar dilerim..,https://www.hepsiburada.com/arzum-ar-010-termal-elektrikli-sofben-p-EVAR010
5,telefonu yeni aldım bir haftadır kullanıyorum çok memnun kaldım diğer telefonlara dünya para vermeye gerek yok  gayet güzel bir telefon,https://www.hepsiburada.com/huawei-p9-lite-huawei-turkiye-garantili-p-HBV0000019BA3
1,yani yorumlara bakınca okadar abartılmış ki neredeyse farklı renklerden 5 çift alacaktım. ama acaba diyerekten bir tane söyledim. iyikede öyle yapmışım. öyle gerçek deri falan değil. bana gelen basit kalitesiz bir ayakkabı. ama ucuz illa alacam diyorsanız bir numara küçük alın.,https://www.hepsiburada.com/deparshoes-rok-erkek-gunluk-ayakkabi-p-HBV000006ISVH
4,güzel bir ürün uygulamada başta çok zorlandım fakat sonra alışınca çabucak bitti işlem direksiyonumdan kaynaklı olarak bazı yerler çok kötü gözüktü fakat en azından temiz oldu,https://www.hepsiburada.com/modacar-vinil-deri-siyah-sarmali-direksiyon-kilifi-180004-p-OTM180004
5,"henüz balık yapmadık ama çok güzel krep oluyor, çok kullanışlı ve hiç yapışma yapmıyor.. Çok kaliteli bir ürün . Teşekkürler hepsiburada....",https://www.hepsiburada.com/schafer-balikci-balik-tavasi-32-cm-p-MTSCHFBALTAVA
5,Fiyatları düşmeli,https://www.hepsiburada.com/kingston-16gb-mini-metal-usb-bellek-dtse9h-16gbz-p-BD300030
5,kullandığım tüm  kulaklıklar içinde hiç bir problem yaşamadığım tek kulaklık. ayrıca fiyatıda cok uygun. kesinlikle ilgilenenlere tavsiye ederim. pişman olmazsınız...,https://www.hepsiburada.com/samsung-hm1500-bluetooth-kulaklik-cift-telefon-destegi-p-TELBKULSAMHM1500
4,fiyatına göre ideal bir araç.ilk çalıştırmada sıkıntı yaşadım.sanki ipi çekerken elimde kalacak gibi oldu.çalıştırdıktan sonra gayet iyi.ağaç kesme konusunda sıkıntı yaratmadı.biraz yakıtı çabuk tüketiyor.,https://www.hepsiburada.com/max-extra-csa52-2kw-50cm-benzinli-agac-kesme-testeresi-p-HRGMCSA52
4,Çok güzel bir ürün yazması ve kllanımı çok rahat görnümü de çok güzel. Ancak hard soft ayarı çok hassas yazarken değşebiliyor..,https://www.hepsiburada.com/faber-castell-vario-lux-versatil-0-9mm-5085135900-p-OFISFCAS106-09
5,Mükemmel bir ürün mutfak işlerinde büyük bir rahatlık.Benzeri pek çok ürüne göre çok daha kullanışlı olması fark yaratan yanları ürünü değerli kılıyor.,https://www.hepsiburada.com/nicer-dicer-plus-pratik-dograyici-p-MTNICERDICERPLUS
4,"Fiyatı normal abartılı bir indirim değil, cihaz güzel ihtiyacı fazlasıyla karşılıyor. Gönderim hızlı.",https://www.hepsiburada.com/tp-link-tl-wn722n-150-mbps-n-kablosuz-yuksek-kazanimli-4dbi-degistirilebilir-antenli-wps-usb-adaptor-p-BD97008
4,düşük devirde işe yaramaz hızlı devirde kullanmak gerek zaten düşük devirde makinaya ihtiyaç yok . bunun dışında gayet iyi fiyat/performans ürünü..,https://www.hepsiburada.com/attlas-eco-d-400-devir-ayarli-dekupaj-testere-400w-p-HRATTLASECOD400
5,Ürünü ALB Teknoloji'den satın aldım. Sipariş ettiğim günün ertesi sipariş saatinde elime ulaştı. Gayet hızlı gönderim oldu. Piyasadaki teknoloji mağazalarından daha uygun olması da ayrı tercih sebebidir. Gönül rahatlığı ile sipariş verebilirsiniz. Teşekkürler ALB Teknoloji...,https://www.hepsiburada.com/microsoft-xbox-one-s-wireless-controller-beyaz-p-HBV000003SKRG
5,gerçekten kaliteli tebrik ederim başarılı,https://www.hepsiburada.com/indesit-iwe-91283-sl-c-eco-tk-a-9-kg-1200-devir-camasir-makinesi-p-MTINDIWE91282
